Franchise,Lg,From,To,Yrs,G,W,L,W/L%,Plyfs,Div,Conf,Champ
Atlanta Hawks,NBA,1949-50,2023-24,75,5855,2891,2964,0.494,49,12,0,1
Boston Celtics,NBA/BAA,1946-47,2023-24,78,6032,3570,2462,0.592,60,33,10,17
Brooklyn Nets,NBA/ABA,1967-68,2023-24,57,4530,1996,2534,0.441,31,5,2,2
Charlotte Hornets,NBA,1988-89,2023-24,34,2631,1153,1478,0.438,10,0,0,0
Chicago Bulls,NBA,1966-67,2023-24,58,4598,2344,2254,0.51,37,9,6,6
Cleveland Cavaliers,NBA,1970-71,2023-24,54,4271,1984,2287,0.465,23,7,5,1
Dallas Mavericks,NBA,1980-81,2023-24,44,3461,1747,1714,0.505,24,4,2,1
Denver Nuggets,NBA/ABA,1967-68,2023-24,57,4531,2310,2221,0.51,38,13,1,1
Detroit Pistons,NBA/BAA,1948-49,2023-24,76,5916,2813,3103,0.475,42,11,5,3
Golden State Warriors,NBA/BAA,1946-47,2023-24,78,6021,2923,3098,0.485,37,12,7,7
Houston Rockets,NBA,1967-68,2023-24,57,4524,2328,2196,0.515,34,8,4,2
Indiana Pacers,NBA/ABA,1967-68,2023-24,57,4530,2310,2220,0.51,36,9,1,3
Los Angeles Clippers,NBA,1970-71,2023-24,54,4278,1792,2486,0.419,17,2,0,0
Los Angeles Lakers,NBA/BAA,1948-49,2023-24,76,5922,3503,2419,0.592,63,33,19,17
Memphis Grizzlies,NBA,1995-96,2023-24,29,2229,971,1258,0.436,13,2,0,0
Miami Heat,NBA,1988-89,2023-24,36,2803,1475,1328,0.526,24,16,7,3
Milwaukee Bucks,NBA,1968-69,2023-24,56,4443,2340,2103,0.527,35,18,3,2
Minnesota Timberwolves,NBA,1989-90,2023-24,35,2712,1091,1621,0.402,11,1,0,0
New Orleans Pelicans,NBA,2002-03,2023-24,22,1686,782,904,0.464,9,1,0,0
New York Knicks,NBA/BAA,1946-47,2023-24,78,6023,2924,3099,0.485,44,8,4,2
Oklahoma City Thunder,NBA,1967-68,2023-24,57,4524,2413,2111,0.533,33,11,4,1
Orlando Magic,NBA,1989-90,2023-24,35,2721,1268,1453,0.466,16,6,2,0
Philadelphia 76ers,NBA,1949-50,2023-24,75,5859,3054,2805,0.521,53,12,5,3
Phoenix Suns,NBA,1968-69,2023-24,56,4443,2380,2063,0.536,32,8,3,0
Portland Trail Blazers,NBA,1970-71,2023-24,54,4280,2271,2009,0.531,37,6,3,1
Sacramento Kings,NBA/BAA,1948-49,2023-24,76,5923,2702,3221,0.456,30,6,0,1
San Antonio Spurs,NBA/ABA,1967-68,2023-24,57,4529,2661,1868,0.588,47,22,6,5
Toronto Raptors,NBA,1995-96,2023-24,29,2228,1071,1157,0.481,14,7,1,1
Utah Jazz,NBA,1974-75,2023-24,50,3950,2146,1804,0.543,31,11,2,0
Washington Wizards,NBA,1961-62,2023-24,63,5005,2257,2748,0.451,30,8,4,1